hotel_id,city_id,hotel_type,basename,distance_to_center,longitude,latitude,overall_rating,impression_level,interaction_level,car_park,club_club_hotel,designer_hotel,attraction_hotel,luxury_hotel,beach_front_hotel,convention_hotel,spa_hotel,country_hotel,airport_hotel,senior_hotel,eco_friendly_hotel,party_people,business_people,honeymooners,singles,large_groups,family_hotel,gay_friendly,wifi_lobby,wifi_room
11511119,31497,Hotel,Xi Hu,2799,114.17100524902344,22.30606460571289,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
11577919,14121,Hotel,Colors Urban  Thessaloniki,586,22.939218521118164,40.63480758666992,5,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1
11530983,27561,Hotel,Van der Valk Hotel Oostzaan - Amsterdam,6485,4.876710891723633,52.427398681640625,5,1,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1
11814291,14121,Hotel,Elia City,611,22.938928604125977,40.63488006591797,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
11938295,31497,Home / Apartment,Le Petit Rosedale  Hong Kong,2870,114.18923950195312,22.27920913696289,3,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1
214201,14121,Hotel,Pella,626,22.942245483398438,40.63915252685547,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,0,1,1
15891,14257,Hotel,Holiday Inn Express Los Angeles - LAX Airport,15730,-118.38516235351562,33.95913314819336,3,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,1
28219,27561,Hotel,Hilton Amsterdam,2597,4.87272310256958,52.35137939453125,5,4,3,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,1
33175,31497,Hotel,The Peninsula Hong Kong,1759,114.1718521118164,22.295101165771484,5,2,1,1,NA,NA,NA,1,0,NA,1,NA,NA,NA,NA,0,1,NA,1,NA,1,1,1,1
65997,14121,Hotel,Capsis Hotel Thessaloniki,1483,22.93183135986328,40.6421012878418,2,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,1,1
77739,14121,Hotel,El Greco,857,22.93818473815918,40.63914489746094,3,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,1,1
77755,14121,Hotel,City Hotel Thessaloniki,519,22.940027236938477,40.63386535644531,4,1,1,0,NA,1,NA,NA,NA,NA,0,NA,NA,NA,NA,0,1,NA,1,1,0,NA,1,1
77759,14121,Hotel,Philippion,3609,22.98590087890625,40.64630889892578,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1
84187,27561,Hotel,New West Inn Amsterdam,6875,4.794897079467773,52.36251449584961,2,6,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,1
